id,full_name,email,phone,role,is_approved,created_at
l3eebc99-9c0b-4ef8-bb6d-6bb9bd380l13,User Thirty Four,u34@example.com,+1234567864,parent,true,2026-05-04T10:00:00Z
m1eebc99-9c0b-4ef8-bb6d-6bb9bd380m11,User Thirty Five,u35@example.com,+1234567865,candidate,true,2026-05-04T10:00:00Z
m2eebc99-9c0b-4ef8-bb6d-6bb9bd380m12,User Thirty Six,u36@example.com,+1234567866,teacher,true,2026-05-04T10:00:00Z
m3eebc99-9c0b-4ef8-bb6d-6bb9bd380m13,User Thirty Seven,u37@example.com,+1234567867,parent,true,2026-05-04T10:00:00Z
n1eebc99-9c0b-4ef8-bb6d-6bb9bd380n11,User Thirty Eight,u38@example.com,+1234567868,candidate,true,2026-05-04T10:00:00Z
n2eebc99-9c0b-4ef8-bb6d-6bb9bd380n12,User Thirty Nine,u39@example.com,+1234567869,teacher,false,2026-05-04T10:00:00Z
n3eebc99-9c0b-4ef8-bb6d-6bb9bd380n13,User Forty,u40@example.com,+1234567870,parent,true,2026-05-04T10:00:00Z
o1eebc99-9c0b-4ef8-bb6d-6bb9bd380o11,User Forty One,u41@example.com,+1234567871,candidate,true,2026-05-04T10:00:00Z
o2eebc99-9c0b-4ef8-bb6d-6bb9bd380o12,User Forty Two,u42@example.com,+1234567872,teacher,true,2026-05-04T10:00:00Z
o3eebc99-9c0b-4ef8-bb6d-6bb9bd380o13,User Forty Three,u43@example.com,+1234567873,parent,true,2026-05-04T10:00:00Z
p1eebc99-9c0b-4ef8-bb6d-6bb9bd380p11,User Forty Four,u44@example.com,+1234567874,candidate,true,2026-05-04T10:00:00Z
p2eebc99-9c0b-4ef8-bb6d-6bb9bd380p12,User Forty Five,u45@example.com,+1234567875,teacher,false,2026-05-04T10:00:00Z
p3eebc99-9c0b-4ef8-bb6d-6bb9bd380p13,User Forty Six,u46@example.com,+1234567876,parent,true,2026-05-04T10:00:00Z
